Date,Close,Volume
7/21/2016,54.8232,16151699
7/22/2016,55.1087,23899275
7/25/2016,55.1563,10486019
7/26/2016,55.4989,10106663
7/27/2016,55.0611,6551777
7/28/2016,55.4038,6830059
7/29/2016,55.2515,6914907
8/1/2016,54.8517,7997576
8/2/2016,54.1831,7574622
8/3/2016,53.4286,11484792
8/4/2016,52.9319,11193748
8/5/2016,53.3904,9206197
8/8/2016,52.8746,9129307
8/9/2016,52.7218,7136683
8/10/2016,53.123,6991077
8/11/2016,52.9797,6191412
8/12/2016,52.9797,5039757
8/15/2016,52.7696,5968728
8/16/2016,52.8842,5751178
8/17/2016,53.2949,7410631
8/18/2016,53.037,5390990
8/19/2016,52.4735,8981214
8/22/2016,53.3426,8837808
8/23/2016,53.8679,7827873
8/24/2016,54.527,13200460
8/25/2016,54.718,6686589
8/26/2016,54.718,6940511
8/29/2016,54.25,7026700
8/30/2016,53.8679,6377668
8/31/2016,53.7056,6996894
9/1/2016,53.782,6230148
9/2/2016,53.6578,7441463
9/6/2016,53.505,6472907
9/7/2016,53.7915,11428644
9/8/2016,52.8173,12673626
9/9/2016,51.91,10658120
9/12/2016,52.2538,11002544
9/13/2016,51.5566,10050215
9/14/2016,51.4802,6707850
9/15/2016,51.6807,8080426
9/16/2016,51.3274,10207750
9/19/2016,50.6301,9231628
9/20/2016,50.9071,8731499
9/21/2016,51.5566,9213637
9/22/2016,51.9482,9096709
9/23/2016,51.9864,6945147
9/26/2016,51.6139,7755629
9/27/2016,51.7572,6463747
9/28/2016,51.5566,8593496
9/29/2016,51.0504,11993517
9/30/2016,51.7094,13767754
10/3/2016,51.4229,5479037
10/4/2016,51.1268,6176358
10/5/2016,50.9549,7451916
10/6/2016,50.7543,6130270
10/7/2016,51.0599,7279723
10/10/2016,50.9071,7224335
10/11/2016,50.5442,9720407
10/12/2016,50.7734,6320462
10/13/2016,50.5728,6958128
10/14/2016,50.697,6430136
10/17/2016,50.3914,5223526
10/18/2016,50.2481,6550399
10/19/2016,50.7638,9095261
10/20/2016,51.1841,9286800
10/21/2016,51.2223,6767204
10/24/2016,51.7476,6919714
10/25/2016,51.2605,6052830
10/26/2016,51.2223,5817798
10/27/2016,51.1841,7899957
10/28/2016,51.1268,6620333
10/31/2016,50.6874,9142509
11/1/2016,50.143,15425819
11/2/2016,50.6015,10851658
11/3/2016,49.4458,21847292
11/4/2016,50.3818,21956848
11/7/2016,52.0437,14916848
11/8/2016,52.1678,9351994
11/9/2016,52.1296,13727777
11/10/2016,51.165,13621701
11/11/2016,51.5088,8436435
11/14/2016,51.7858,10489826
11/15/2016,52.3807,9588036
11/16/2016,53.1963,10779155
11/17/2016,53.5897,8744504
11/18/2016,53.513,8740953
11/21/2016,53.8296,8004000
11/22/2016,54.8083,10268720
11/23/2016,55.2593,8183628
11/25/2016,55.1058,3228848
11/28/2016,55.2593,8750925
11/29/2016,55.8158,10582850
11/30/2016,55.6239,9527959
12/1/2016,56.1421,12381607
12/2/2016,54.8947,16869957
12/5/2016,55.173,7701167
12/6/2016,55.1154,7035674
12/7/2016,56.382,9094812
12/8/2016,56.2764,7972498
12/9/2016,56.3724,7091577
12/12/2016,56.3916,7736198
12/13/2016,56.9097,8878080
12/14/2016,56.3724,9022867
12/15/2016,55.3745,11837756
12/16/2016,55.3265,10611461
12/19/2016,55.3169,6433824
12/20/2016,55.3649,4888284
12/21/2016,55.1154,5380537
12/22/2016,54.7987,6777656
12/23/2016,54.7028,4298476
12/27/2016,54.5589,4186157
12/28/2016,54.0695,5548726
12/29/2016,54.0407,3781721
12/30/2016,53.2731,8344508
1/3/2017,53.11,7809307
1/4/2017,53.7241,7796290
1/5/2017,54.175,7602321
1/6/2017,54.8179,8587812
1/9/2017,55.8446,12640515
1/10/2017,55.5376,6672024
1/11/2017,55.7487,6027960
1/12/2017,55.6815,4733015
1/13/2017,55.5088,4745840
1/17/2017,55.6527,5734666
1/18/2017,56.0845,7375725
1/19/2017,55.5472,7850480
1/20/2017,55.3265,7651562
1/23/2017,55.4224,6814368
1/24/2017,56.0749,10704103
1/25/2017,56.3244,7124547
1/26/2017,56.0941,12382416
1/27/2017,53.8488,28884899
1/30/2017,53.6377,13322010
1/31/2017,52.9852,14307985
2/1/2017,51.7186,18796871
2/2/2017,51.6899,15289650
2/3/2017,52.8317,14161693
2/6/2017,53.4746,13029829
2/7/2017,53.2433,9910498
2/8/2017,53.224,11681938
2/9/2017,53.7927,11106757
2/10/2017,54.1878,11178950
2/13/2017,54.0818,8027939
2/14/2017,54.5348,8865947
2/15/2017,54.8047,6967179
2/16/2017,54.6794,8524519
2/17/2017,55.277,11008366
2/21/2017,55.4601,8289185
2/22/2017,55.489,7876599
2/23/2017,55.5565,7178627
2/24/2017,55.4023,7806190
2/27/2017,54.7276,7702400
2/28/2017,54.8143,8750655
3/1/2017,55.0746,7197973
3/2/2017,55.0553,6595418
3/3/2017,55.036,7738064
3/6/2017,54.6312,9159983
3/7/2017,54.1686,10890313
3/8/2017,53.7252,13061632
3/9/2017,53.1951,17844248
3/10/2017,52.5589,13886431
3/13/2017,52.6553,9090230
3/14/2017,52.3083,7892888
3/15/2017,52.5686,8712006
3/16/2017,52.8192,8074278
3/17/2017,53.7637,15822141
3/20/2017,53.7927,7948425
3/21/2017,53.5324,8030642
3/22/2017,53.8698,8452070
3/23/2017,53.8312,7357207
3/24/2017,54.7565,15763000
3/27/2017,55.1613,8861799
3/28/2017,55.277,8331644
3/29/2017,55.4601,7001635
3/30/2017,56.0577,8677916
3/31/2017,56.2794,9156707
4/3/2017,56.3276,8989831
4/4/2017,56.2119,6474781
4/5/2017,56.1155,13656221
4/6/2017,55.8264,9112533
4/7/2017,55.9228,6773750
4/10/2017,55.8553,5266312
4/11/2017,55.7878,5855091
4/12/2017,55.4987,5450298
4/13/2017,55.4312,4871717
4/17/2017,55.9806,5626042
4/18/2017,56.2409,5449699
4/19/2017,56.9059,12000639
4/20/2017,57.9083,12445862
4/21/2017,58.4192,8799985
4/24/2017,58.9011,10721276
4/25/2017,58.7565,11031475
4/26/2017,59.3348,8525419
4/27/2017,59.0842,15285342
4/28/2017,57.889,25046130
5/1/2017,58.0047,10910341
5/2/2017,58.3131,9152088
5/3/2017,58.3999,7706367
5/4/2017,58.6312,6874286
5/5/2017,58.7469,6443309
5/8/2017,58.7372,5588371
5/9/2017,59.0179,5806562
5/10/2017,58.7082,7198414
5/11/2017,58.3307,5516893
5/12/2017,58.0017,5647531
5/15/2017,58.5049,5904094
5/16/2017,58.0501,6303480
5/17/2017,57.8081,7581230
5/18/2017,57.8952,8602411
5/19/2017,59.3856,12530995
5/22/2017,59.2598,6392124
5/23/2017,59.1824,5622524
5/24/2017,59.8986,7283789
5/25/2017,60.8761,8931804
5/26/2017,61.2632,6097990
5/30/2017,61.2245,7094586
5/31/2017,61.5633,7314634
6/1/2017,61.6987,6058263
6/2/2017,62.4924,7840374
6/5/2017,62.202,6809284
6/6/2017,62.0956,5448439
6/7/2017,61.4568,8364994
6/8/2017,60.2373,11289266
6/9/2017,60.1889,11240487
6/12/2017,59.3179,11071593
6/13/2017,58.9598,9384906
6/14/2017,58.3307,9703332
6/15/2017,58.1565,7515980
6/16/2017,58.2049,11522438
6/19/2017,58.9404,6778024
6/20/2017,57.9339,6985666
6/21/2017,58.0307,6027647
6/22/2017,57.5952,5602002
6/23/2017,57.8855,6469495
6/26/2017,57.721,5674637
6/27/2017,57.0629,5652429
6/28/2017,57.2758,5419169
6/29/2017,56.4822,7421177
6/30/2017,56.4338,8117066
7/3/2017,56.3757,4575268
7/5/2017,56.0757,7773566
7/6/2017,55.7466,8886648
7/7/2017,56.1725,7278250
7/10/2017,55.9499,4832094
7/11/2017,56.037,5422330
7/12/2017,56.6564,7141916
7/13/2017,56.5015,8460245
7/14/2017,56.8693,5441377
7/17/2017,56.4531,6774471
7/18/2017,56.337,7857464
7/19/2017,56.2402,8203557
7/20/2017,56.1628,10546701
7/21/2017,56.1144,6717235
7/24/2017,56.1531,7442589
7/25/2017,56.6661,7933137
7/26/2017,56.0757,8775889
7/27/2017,57.5855,23286716
7/28/2017,52.2625,53454789
7/31/2017,52.2431,20299407
8/1/2017,52.969,18120912
8/2/2017,53.6465,14764854
8/3/2017,53.8884,13331459
8/4/2017,53.6561,9179779
8/7/2017,53.84,7253947
8/8/2017,53.0039,11095259
8/9/2017,52.2456,16717719
8/10/2017,51.5943,13235301
8/11/2017,51.7012,9235033
8/14/2017,51.7401,7426467
8/15/2017,51.672,6674597
8/16/2017,52.0123,7667081
8/17/2017,51.5651,7451679
8/18/2017,51.2345,10370499
8/21/2017,51.672,12753196
8/22/2017,52.9359,14547613
8/23/2017,52.5762,11838533
8/24/2017,52.4401,8716699
8/25/2017,52.8484,8601120
8/28/2017,52.8873,6643652
8/29/2017,52.5956,6212403
8/30/2017,53.0039,5596567
8/31/2017,53.3345,8245287
9/1/2017,53.4025,7696302
9/5/2017,53.597,9178048
9/6/2017,52.7998,11372298
9/7/2017,51.9831,13801890
9/8/2017,52.0026,11774483
9/11/2017,52.5178,9314079
9/12/2017,52.0512,10339446
9/13/2017,52.7803,12787883
9/14/2017,53.0137,8260770
9/15/2017,53.1498,10744783
9/18/2017,53.1692,6348360
9/19/2017,53.1012,5187121
9/20/2017,53.6164,7080035
9/21/2017,53.4803,7178462
9/22/2017,53.5581,6950029
9/25/2017,53.422,10242655
9/26/2017,53.597,8021851
9/27/2017,53.4609,8671309
9/28/2017,52.9845,7607473
9/29/2017,52.2165,11944370
10/2/2017,52.3137,5955980
10/3/2017,52.4887,6137069
10/4/2017,52.4303,5569058
10/5/2017,53.0817,7994274
10/6/2017,53.6359,10576278
10/9/2017,53.49,5822893
10/10/2017,53.8789,6573918
10/11/2017,54.0928,8881897
10/12/2017,54.4136,7234267
10/13/2017,54.1706,6231132
10/16/2017,53.3831,7256893
10/17/2017,52.9942,11227337
10/18/2017,53.6747,8299509
10/19/2017,53.8595,5720179
10/20/2017,53.0525,11741092
10/23/2017,52.7609,10111071
10/24/2017,52.7706,7818490
10/25/2017,52.6539,8281219
10/26/2017,53.3831,12211440
10/27/2017,53.3539,9922611
10/30/2017,53.6359,6430949
10/31/2017,53.315,8857829
11/1/2017,53.597,7189764
11/2/2017,53.3442,16879022
11/3/2017,54.4719,28773774
11/6/2017,54.9969,10835659
11/7/2017,55.6289,11167447
11/8/2017,56.2997,13533654
11/9/2017,55.765,14758907
11/10/2017,55.4539,7930318
11/13/2017,55.065,7648192
11/14/2017,55.3469,7758215
11/15/2017,55.4154,8880505
11/16/2017,55.9431,8310611
11/17/2017,55.6401,6311519
11/20/2017,55.5229,6360086
11/21/2017,55.9627,6284259
11/22/2017,55.8454,7309073
11/24/2017,55.5131,3479177
11/27/2017,54.6433,10580296
11/28/2017,55.3763,9734431
11/29/2017,56.207,10017914
11/30/2017,56.51,11509224
12/1/2017,56.0213,12756391
12/4/2017,57.4287,13302050
12/5/2017,57.9955,11295644
12/6/2017,57.9369,8458198
12/7/2017,57.8001,6033792
12/8/2017,57.2821,9950491
12/11/2017,57.7317,10286560
12/12/2017,57.9271,6042917
12/13/2017,58.1421,7726299
12/14/2017,58.3474,8946111
12/15/2017,56.9693,22595018
12/18/2017,56.7152,8751620
12/19/2017,56.6957,7946435
12/20/2017,56.422,7188717
12/21/2017,56.2754,5974474
12/22/2017,56.0018,7148723
12/26/2017,55.8454,5546208
12/27/2017,55.9724,4812173
12/28/2017,56.5002,5044505
12/29/2017,56.1288,5365646
1/2/2018,56.3243,7215978
1/3/2018,57.3798,7478356
1/4/2018,57.5948,5775921
1/5/2018,58.2594,6047686
1/8/2018,57.9662,6335782
1/9/2018,57.8392,5233353
1/10/2018,58.4647,8656454
1/11/2018,58.6406,5806282
1/12/2018,59.0315,6989075
1/16/2018,59.1879,8040748
1/17/2018,59.2856,8433771
1/18/2018,59.7059,9170903
1/19/2018,59.872,8361853
1/22/2018,60.0186,11945783
1/23/2018,60.2923,10806783
1/24/2018,59.4518,11911867
1/25/2018,59.1781,16225618
1/26/2018,56.6761,51851690
1/29/2018,55.7281,18899867
1/30/2018,55.8943,14341155
1/31/2018,55.5229,13118364
2/1/2018,54.7312,14690146
2/2/2018,54.5064,15358909
2/5/2018,53.4509,16059955
2/6/2018,54.3501,17415065
2/7/2018,53.5148,13927022
2/8/2018,52.8368,17736671
2/9/2018,53.6327,19382011
2/12/2018,54.4189,10968956
2/13/2018,54.7038,10416385
2/14/2018,55.0183,14190323
2/15/2018,55.598,10294949
2/16/2018,55.4998,10151328
2/20/2018,54.9986,9450906
2/21/2018,55.1264,7850950
2/22/2018,54.4385,10172399
2/23/2018,55.1657,11394350
2/26/2018,56.1778,8713847
